city,town,n_trade_areas,total_town_store_count,town_lat,town_lon,vol_과학·기술,vol_교육,vol_보건의료,vol_부동산,vol_소매,vol_수리·개인,vol_숙박,vol_시설관리·임대,vol_예술·스포츠,vol_음식,town_label_ko,dom_cluster_id,dom_cluster_store_count,dom_cluster_label,description_ko
강남구,역삼1동,10,13365,37.49994365922585,127.03479124547911,4978,932,497,867,1533,738,142,706,360,2612,대형 과학·기술 상권,1,4105,소형 소매 상권,"분석 결과, 강남구 역삼1동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 13,365개의 점포 중, 약 4,105개가 이 핵심 상권 유형에 해당합니다."
강남구,역삼2동,10,3576,37.49935757859727,127.04453192445158,1218,295,136,349,487,169,48,206,100,568,대형 과학·기술 상권,1,1326,소형 소매 상권,"분석 결과, 강남구 역삼2동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,576개의 점포 중, 약 1,326개가 이 핵심 상권 유형에 해당합니다."
강남구,일원1동,10,769,37.49177576752121,127.08409306462947,111,76,38,33,134,93,15,35,55,179,중형 음식 상권,1,310,소형 소매 상권,"분석 결과, 강남구 일원1동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 769개의 점포 중, 약 310개가 이 핵심 상권 유형에 해당합니다."
강남구,일원본동,9,335,37.48438805336781,127.08520099009267,16,66,17,37,79,43,0,8,14,55,소형 소매 상권,1,155,소형 소매 상권,"분석 결과, 강남구 일원본동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 335개의 점포 중, 약 155개가 이 핵심 상권 유형에 해당합니다."
강남구,청담동,10,4689,37.52291385948915,127.04745087026652,1148,354,286,241,936,535,15,261,107,806,대형 과학·기술 상권,1,1846,소형 소매 상권,"분석 결과, 강남구 청담동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 4,689개의 점포 중, 약 1,846개가 이 핵심 상권 유형에 해당합니다."
강동구,강일동,9,468,37.567562748258965,127.17426003209864,14,128,35,24,96,45,0,5,24,97,소형 교육 상권,1,184,소형 소매 상권,"분석 결과, 강동구 강일동은(는) 전반적으로 [소형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 468개의 점포 중, 약 184개가 이 핵심 상권 유형에 해당합니다."
강동구,고덕1동,10,439,37.55968998344791,127.15231432438308,26,92,10,52,79,57,2,14,16,91,소형 교육 상권,1,173,소형 소매 상권,"분석 결과, 강동구 고덕1동은(는) 전반적으로 [소형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 439개의 점포 중, 약 173개가 이 핵심 상권 유형에 해당합니다."
강동구,고덕2동,10,893,37.56040332165386,127.16465603511908,127,98,36,76,157,103,1,33,31,231,중형 음식 상권,1,334,소형 소매 상권,"분석 결과, 강동구 고덕2동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 893개의 점포 중, 약 334개가 이 핵심 상권 유형에 해당합니다."
강동구,길동,10,2453,37.53833454470494,127.14167437001879,254,139,113,133,513,309,53,96,124,719,대형 음식 상권,1,1032,소형 소매 상권,"분석 결과, 강동구 길동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 2,453개의 점포 중, 약 1,032개가 이 핵심 상권 유형에 해당합니다."
강동구,둔촌1동,9,161,37.52555183149969,127.13983115751934,4,26,24,14,40,18,0,2,1,32,소형 소매 상권,1,81,소형 소매 상권,"분석 결과, 강동구 둔촌1동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 161개의 점포 중, 약 81개가 이 핵심 상권 유형에 해당합니다."
강동구,둔촌2동,10,906,37.531688968348604,127.14287870762492,79,90,26,90,186,130,12,34,44,215,중형 음식 상권,1,392,소형 소매 상권,"분석 결과, 강동구 둔촌2동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 906개의 점포 중, 약 392개가 이 핵심 상권 유형에 해당합니다."
강동구,명일1동,10,1263,37.549889535720546,127.14472934426878,62,154,79,53,299,146,17,41,85,327,대형 음식 상권,1,574,소형 소매 상권,"분석 결과, 강동구 명일1동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,263개의 점포 중, 약 574개가 이 핵심 상권 유형에 해당합니다."
강동구,명일2동,10,925,37.55188749984744,127.15440261438985,65,293,51,34,165,75,1,20,50,171,중형 교육 상권,1,321,소형 소매 상권,"분석 결과, 강동구 명일2동은(는) 전반적으로 [중형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 925개의 점포 중, 약 321개가 이 핵심 상권 유형에 해당합니다."
강동구,상일1동,9,675,37.549945668213326,127.1691478633052,39,80,22,75,139,65,0,16,32,207,중형 음식 상권,1,284,소형 소매 상권,"분석 결과, 강동구 상일1동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 675개의 점포 중, 약 284개가 이 핵심 상권 유형에 해당합니다."
강동구,상일2동,9,145,37.55203070684794,127.17586814365576,12,41,6,4,24,9,0,4,4,41,소형 교육 상권,1,42,소형 소매 상권,"분석 결과, 강동구 상일2동은(는) 전반적으로 [소형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 145개의 점포 중, 약 42개가 이 핵심 상권 유형에 해당합니다."
강동구,성내1동,10,1164,37.529109929473705,127.12500760135012,231,118,37,48,192,93,10,65,44,326,중형 음식 상권,1,396,소형 소매 상권,"분석 결과, 강동구 성내1동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,164개의 점포 중, 약 396개가 이 핵심 상권 유형에 해당합니다."
강동구,성내2동,10,1368,37.53483640906371,127.12732247661374,139,90,51,95,288,217,26,65,51,346,대형 음식 상권,1,576,소형 소매 상권,"분석 결과, 강동구 성내2동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,368개의 점포 중, 약 576개가 이 핵심 상권 유형에 해당합니다."
강동구,성내3동,10,1806,37.52806942938512,127.13436272642704,163,171,104,125,327,226,43,56,105,486,대형 음식 상권,1,760,소형 소매 상권,"분석 결과, 강동구 성내3동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,806개의 점포 중, 약 760개가 이 핵심 상권 유형에 해당합니다."
강동구,암사1동,10,1103,37.55156798461414,127.13263155104951,75,74,38,53,284,169,20,38,58,294,중형 음식 상권,1,491,소형 소매 상권,"분석 결과, 강동구 암사1동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,103개의 점포 중, 약 491개가 이 핵심 상권 유형에 해당합니다."
강동구,암사2동,10,503,37.55163842528653,127.12692850229944,25,64,33,34,87,71,12,9,34,134,소형 음식 상권,1,209,소형 소매 상권,"분석 결과, 강동구 암사2동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 503개의 점포 중, 약 209개가 이 핵심 상권 유형에 해당합니다."
강동구,암사3동,9,463,37.5554180357062,127.1369176327254,66,100,12,33,98,58,0,34,4,58,소형 교육 상권,1,181,소형 소매 상권,"분석 결과, 강동구 암사3동은(는) 전반적으로 [소형 교육 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 463개의 점포 중, 약 181개가 이 핵심 상권 유형에 해당합니다."
강동구,천호1동,10,892,37.54631639588267,127.13877988858503,60,74,36,41,232,136,14,49,32,218,중형 소매 상권,1,404,소형 소매 상권,"분석 결과, 강동구 천호1동은(는) 전반적으로 [중형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 892개의 점포 중, 약 404개가 이 핵심 상권 유형에 해당합니다."
강동구,천호2동,10,2244,37.542839855990415,127.12637732391757,166,117,116,90,720,249,42,91,76,577,대형 소매 상권,1,1135,소형 소매 상권,"분석 결과, 강동구 천호2동은(는) 전반적으로 [대형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 2,244개의 점포 중, 약 1,135개가 이 핵심 상권 유형에 해당합니다."
강동구,천호3동,10,1245,37.53890544699697,127.13181737954862,100,56,51,81,301,164,35,64,50,343,대형 음식 상권,1,582,소형 소매 상권,"분석 결과, 강동구 천호3동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,245개의 점포 중, 약 582개가 이 핵심 상권 유형에 해당합니다."
강북구,미아동,10,1256,37.6282712907318,127.02511362261639,111,56,59,72,273,196,25,59,63,342,대형 음식 상권,1,551,소형 소매 상권,"분석 결과, 강북구 미아동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,256개의 점포 중, 약 551개가 이 핵심 상권 유형에 해당합니다."
강북구,번1동,10,1283,37.63751585053484,127.02785906837002,169,54,56,57,260,192,31,68,67,329,대형 음식 상권,1,539,소형 소매 상권,"분석 결과, 강북구 번1동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,283개의 점포 중, 약 539개가 이 핵심 상권 유형에 해당합니다."
강북구,번2동,10,210,37.63132358146313,127.03439466887656,16,10,8,8,46,41,1,6,14,60,소형 음식 상권,1,83,소형 소매 상권,"분석 결과, 강북구 번2동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 210개의 점포 중, 약 83개가 이 핵심 상권 유형에 해당합니다."
강북구,번3동,9,301,37.62696978702624,127.04263441436723,15,41,15,16,66,40,0,1,20,87,소형 음식 상권,1,118,소형 소매 상권,"분석 결과, 강북구 번3동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 301개의 점포 중, 약 118개가 이 핵심 상권 유형에 해당합니다."
강북구,삼각산동,9,503,37.61825353332646,127.018056878589,18,87,29,39,108,55,0,6,23,138,소형 음식 상권,1,205,소형 소매 상권,"분석 결과, 강북구 삼각산동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 503개의 점포 중, 약 205개가 이 핵심 상권 유형에 해당합니다."
강북구,삼양동,10,603,37.62315092911859,127.01756799154569,45,67,44,27,140,88,6,21,26,139,소형 소매 상권,1,264,소형 소매 상권,"분석 결과, 강북구 삼양동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 603개의 점포 중, 약 264개가 이 핵심 상권 유형에 해당합니다."
강북구,송중동,10,1546,37.61606185714193,127.03142486137467,121,120,58,59,383,200,25,54,67,459,대형 음식 상권,1,646,소형 소매 상권,"분석 결과, 강북구 송중동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,546개의 점포 중, 약 646개가 이 핵심 상권 유형에 해당합니다."
강북구,송천동,10,1207,37.61827211829465,127.02554194889505,112,69,50,70,271,191,23,52,45,324,대형 음식 상권,1,511,소형 소매 상권,"분석 결과, 강북구 송천동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,207개의 점포 중, 약 511개가 이 핵심 상권 유형에 해당합니다."
강북구,수유1동,10,901,37.63191656896721,127.01936991637209,52,47,26,30,330,110,13,26,33,234,중형 소매 상권,1,458,소형 소매 상권,"분석 결과, 강북구 수유1동은(는) 전반적으로 [중형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 901개의 점포 중, 약 458개가 이 핵심 상권 유형에 해당합니다."
강북구,수유2동,10,822,37.64500956075914,127.01910169176229,59,70,29,38,203,139,3,31,42,208,중형 음식 상권,1,346,소형 소매 상권,"분석 결과, 강북구 수유2동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 822개의 점포 중, 약 346개가 이 핵심 상권 유형에 해당합니다."
강북구,수유3동,10,2016,37.63989407230631,127.02436246359903,141,53,71,77,376,244,40,68,177,769,대형 음식 상권,1,809,소형 소매 상권,"분석 결과, 강북구 수유3동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 2,016개의 점포 중, 약 809개가 이 핵심 상권 유형에 해당합니다."
강북구,우이동,10,720,37.65304429337411,127.01199707007193,43,32,14,20,171,54,12,19,34,321,중형 음식 상권,1,270,소형 소매 상권,"분석 결과, 강북구 우이동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 720개의 점포 중, 약 270개가 이 핵심 상권 유형에 해당합니다."
강북구,인수동,10,888,37.6387215202409,127.01534301350246,87,79,26,35,231,127,7,36,37,223,중형 소매 상권,1,372,소형 소매 상권,"분석 결과, 강북구 인수동은(는) 전반적으로 [중형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 888개의 점포 중, 약 372개가 이 핵심 상권 유형에 해당합니다."
강서구,가양1동,10,4783,37.56383660068138,126.83311954192384,1144,227,127,261,553,514,13,367,152,1425,대형 음식 상권,1,1473,소형 소매 상권,"분석 결과, 강서구 가양1동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 4,783개의 점포 중, 약 1,473개가 이 핵심 상권 유형에 해당합니다."
강서구,가양2동,9,330,37.563548974440195,126.85296078821862,39,20,33,17,72,45,0,26,16,62,소형 소매 상권,1,164,소형 소매 상권,"분석 결과, 강서구 가양2동은(는) 전반적으로 [소형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 330개의 점포 중, 약 164개가 이 핵심 상권 유형에 해당합니다."
강서구,가양3동,9,278,37.56049640258871,126.86037063476527,76,25,9,16,55,28,0,28,2,39,소형 과학·기술 상권,1,110,소형 소매 상권,"분석 결과, 강서구 가양3동은(는) 전반적으로 [소형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 278개의 점포 중, 약 110개가 이 핵심 상권 유형에 해당합니다."
강서구,공항동,10,1258,37.55908940444529,126.81388211241094,134,145,33,45,276,142,30,81,52,320,대형 음식 상권,1,517,소형 소매 상권,"분석 결과, 강서구 공항동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,258개의 점포 중, 약 517개가 이 핵심 상권 유형에 해당합니다."
강서구,등촌1동,10,1461,37.55599183277725,126.85943761705832,329,92,54,60,248,175,10,75,56,362,대형 음식 상권,1,503,소형 소매 상권,"분석 결과, 강서구 등촌1동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,461개의 점포 중, 약 503개가 이 핵심 상권 유형에 해당합니다."
강서구,등촌2동,10,411,37.54583158881441,126.86207208394163,35,46,17,23,99,61,3,10,14,103,소형 음식 상권,1,166,소형 소매 상권,"분석 결과, 강서구 등촌2동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 411개의 점포 중, 약 166개가 이 핵심 상권 유형에 해당합니다."
강서구,등촌3동,10,1777,37.561563915417715,126.84495545889713,273,183,70,72,437,167,12,92,86,385,대형 소매 상권,1,769,소형 소매 상권,"분석 결과, 강서구 등촌3동은(는) 전반적으로 [대형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,777개의 점포 중, 약 769개가 이 핵심 상권 유형에 해당합니다."
강서구,발산1동,10,3279,37.555186684067465,126.8294844712146,733,387,117,172,582,434,9,192,97,556,대형 과학·기술 상권,1,1169,소형 소매 상권,"분석 결과, 강서구 발산1동은(는) 전반적으로 [대형 과학·기술 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 3,279개의 점포 중, 약 1,169개가 이 핵심 상권 유형에 해당합니다."
강서구,방화1동,10,1698,37.56967496427815,126.8160214877244,161,207,81,91,383,225,15,66,83,386,대형 음식 상권,1,719,소형 소매 상권,"분석 결과, 강서구 방화1동은(는) 전반적으로 [대형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,698개의 점포 중, 약 719개가 이 핵심 상권 유형에 해당합니다."
강서구,방화2동,10,1115,37.568485160640826,126.80840799022391,74,46,20,43,401,118,18,47,48,300,중형 소매 상권,1,577,소형 소매 상권,"분석 결과, 강서구 방화2동은(는) 전반적으로 [중형 소매 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,115개의 점포 중, 약 577개가 이 핵심 상권 유형에 해당합니다."
강서구,방화3동,10,362,37.57767339476355,126.81301483765976,31,40,17,18,73,52,3,16,16,96,소형 음식 상권,1,143,소형 소매 상권,"분석 결과, 강서구 방화3동은(는) 전반적으로 [소형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 362개의 점포 중, 약 143개가 이 핵심 상권 유형에 해당합니다."
강서구,염창동,10,1130,37.55169959985027,126.87130251251014,142,196,45,68,196,129,8,36,65,245,중형 음식 상권,1,418,소형 소매 상권,"분석 결과, 강서구 염창동은(는) 전반적으로 [중형 음식 상권]으로 분류됩니다. 이 지역의 핵심적인 특징은 '소형 소매 상권' 유형이 주도하고 있습니다. 전체 약 1,130개의 점포 중, 약 418개가 이 핵심 상권 유형에 해당합니다."
